"performance_rule_id","card_id","base_spend_amount","base_spend_to","period_term","period_unit","period_unit_value","method","discounted_spend_counts_for_performance","discounted_spend_count_ratio","source_text","exported_at"
"naver-card-10623-performance-1","naver-card-10623","0","","before","month","1","sum","excluded","0","전월실적 조건 없음, 월 할인한도 국내/해외 가맹점 통합 최대 10만원 ※ 할인 제공 시 유의사항 참고 전월실적 조건 없음, 월 할인한도 국내/해외 가맹점 통합 최대 10만원 ※ 해외 결제 시 별도의 수수료가 발생할 수 있으며, 해당 내용은 '상품 안내장' 참조 ※ 해외 이용 시 청구금액 산출방법 해외 이용 시 청구금액=거래미화금액 ×전신환 매도율* *전신환 매도율 : 접수일의 우리은행 최초고시 전신환 매도율 ∙ 일부 해외 가맹점 거래 시 IC칩 비밀번호(PIN)를 요","2026-06-11T13:04:13.065Z"
"naver-card-10304-performance-1","naver-card-10304","0","","before","month","1","sum","excluded","0","기준실적 조건없음 혜택요약 실적·한도 실적 조건없음 혜택요약 실적·한도 없이 0.7% 캐시백 즉시결제 1% 추가 캐시백 온라인 신청 주요혜택 연회비지원 포인트/캐시백 렌탈 의료 뷰티 다 데백화점 롯데카드 신규 회원 최대 100% 지급 LG U+ X LOCA 롯데카드 텔로 SE 부가혜택 및 통합할인한도 [연회비] 국내전용: 20,000원 해외겸용(MASTER, AMEX): 20,000원 가족카드: 13,000원 [디지로카 London 카드 캐시백 공통기준] 캐시백 혜택은","2026-06-11T13:04:13.065Z"
"naver-card-1530-performance-1","naver-card-1530","300000","300000","before","month","1","sum","excluded","0","기준실적 직전 1개월 합계 30만원 이상 혜택요약 커피30% 교통10% 쇼핑7% 할인 전월 이용금액 산정 시, 할인 혜택이 적용된 이용금액(할인금액이 포함된 총 금액), 국세/지방세/공과금, 아파트 관리비, 대학 등록금, 대중교통, 택시, 상품권 구매, 선불카드 충전건은 제외됩니다. [적립 공통 기준] * 보너스클럽 네이버 신용카드 정보: 삼성카드 taptap O 신용카드 삼성카드 taptap O 공지 연 최대 36만원 할인 혜택! 연회비 국내 1만원, 해외 1만원 신","2026-06-11T13:04:13.065Z"
"naver-card-115-performance-1","naver-card-115","300000","300000","before","month","1","sum","excluded","0","기준실적 직전 1개월 합계 30만원 이상 혜택요약 교통·외식 등 생활영역 10%청구할인 주유 리터당 60원 청구할인 전월 결제회수실적 조건 미달시에도 1구간(주유/대중교통/통신업종 할인서비스)에 한하여 청구할인 서비스를 제공합니다. (단 , 해지 후 재발급 및 가족카드 단독발급 제외) [전월 이용 실적 기준] 네이버 신용카드 정보: KB국민 굿데이카드 신용카드 KB국민 굿데이카드 공지 생활영역 청구할인카드는 굿데이카드로! 연회비 국내 5천원, 해외 1만원 기준실적 직전","2026-06-11T13:04:13.065Z"
"naver-card-10216-performance-1","naver-card-10216","400000","400000","before","month","1","sum","excluded","0","전월실적 채워드림] - 서비스 대상 전월 이용실적이 35만원 이상 40만원 미만인 고객 - 서비스 이용방법 1) 모바일앱(홈페이지)에서 서비스 신청 – 본인회원만 신청가능, 매월 1일~25일 이내 신청 2) 서비스 신청 다음날부터 신청월 말일까지 카드 이용 – 서비스 신청 당일은 할인혜택 이용불가 - 유의사항 본인 회원 기준 월 1회, 연 2회 신청 가능 서비스 신청 후 취소 불가 Happy Birth Month가 제공되는 생일 월에는 신청 불가 간편결제 bene_10","2026-06-11T13:04:13.065Z"
"naver-card-10332-performance-1","naver-card-10332","300000","300000","before","month","1","sum","excluded","0","기준실적 직전 1개월 합계 30만원 이상 혜택요약 연 2회 전세계 공항 라운지 전월 국내 이용실적 기준] 전월 1일~말일(승인시점 기준) &#x27;KB국민 WE:SH Travel카드&#x27; 국내 일시불 및 할부 승인 금액 기준 취소 금액은 취소 전표가 당사에 접수된 월의 : KB국민 WE:SH Travel 카드 신용카드 KB국민 WE:SH Travel 카드 공지 자주쓰는 일상 할인부터 여행 혜택까지 연회비 국내 2만5천원, 해외 2만5천원 신규 회원 최대 100%","2026-06-11T13:04:13.065Z"
"naver-card-10105-performance-1","naver-card-10105","0","","before","month","1","sum","excluded","0","기준실적 조건없음 혜택요약 국내외 가맹점 1.2% 할인! 온라인에선 실적 조건없음 혜택요약 국내외 가맹점 1.2% 할인! 온라인에선 1.5% 더 큰 할인! 온라인 신청 주요혜택 연회비지원 언제나할인 카페/베이커리 쇼 국내 1만원, 해외 1만원 신규 회원 최대 100% 지급 기준실적 조건없음 혜택요약 국내외 가맹점 1.2% 할인! 온라인에선 1.5% 더 큰 할인! 온라인 신청 주요혜택 연회비지원 언제나할인 카페/베이커리 쇼핑 뷰티 다른 LOCA LIKIT 카드 LOCA","2026-06-11T13:04:13.065Z"
"naver-card-1408-performance-1","naver-card-1408","300000","300000","before","month","1","sum","excluded","0","전월실적 30~50만원 구간의 할인한도가 제공됩니다. 교통이용금액은 전전월 이용금액 기준이며, 해외이용금액은 매입일자를 기준으로 적용됩니다. 장-단기 카드 대출/ 연회비/각종수수료/이자/기프트카드 구매금액/선불카드 충전금액/거래취소금액은 전월 이용금액에서 제외됩 용카드 정보: 신한카드 Mr.Life 신용카드 신한카드 Mr.Life 공지 All Day 편의점/약국 10%할인 연회비 국내 1만5천원, 해외 1만8천원 신규 회원 최대 100% 지급 기준실적 직전 1개월 합계","2026-06-11T13:04:13.065Z"
"naver-card-1294-performance-1","naver-card-1294","300000","300000","before","month","1","sum","excluded","0","기준실적 직전 1개월 합계 30만원 이상 혜택요약 주유 리터당 60원 청구할인 혜택 학원,피트니스 전월1일~말일까지 매입완료된 실적 기준 매출취소 및 실적제외 대상 전표는 전표가 접수된 월의 이용금액에서 실적차감(월말 이용전표의 익월 매입시 익월실적에서 차감) [이용실적 제외대상] KB국민 굿데이올림카드로 기본/추가할인 받은 이용건 용카드 정보: KB국민 굿데이올림카드 신용카드 KB국민 굿데이올림카드 공지 대형마트,통신,대중교통 10%청구할인 연회비 해외 2만원 신규","2026-06-11T13:04:13.065Z"
"naver-card-10611-performance-1","naver-card-10611","300000","300000","before","month","1","sum","excluded","0","기준실적 직전 1개월 합계 30만원 이상 혜택요약 국내 가맹점 0.7% 포인트리 적립 대중교통 0. 전월 실적 없이 심플하게 적립하고, 할인혜택까지 연회비지원 온라인신규신청 연회비 100% 캐시백 홈페이지 내 신용카드 최초 발급 시 장기카드대출(카드론) 유의사항 온라인신규신청 연회비 10 KB국민 ALL point 카드 신용카드 KB국민 ALL point 카드 공지 포인트리적립+영화 놀이공원 할인서비스 연회비 해외 2만원 신규 회원 최대 100% 지급 기준실적 직전 1","2026-06-11T13:04:13.065Z"
"naver-card-10375-performance-1","naver-card-10375","0","","before","month","1","sum","excluded","0","기준실적 조건없음 혜택요약 국내외 가맹점 최대 2% 할인! 국내 가 실적 조건없음 혜택요약 국내외 가맹점 최대 2% 할인! 국내 가맹점 2~3개월 무이자 할부 온라인 신청 주요혜택 연회비지원 언제나할인 렌탈 의료 뷰 2만원, 가족 1만3천원 신규 회원 최대 100% 지급 기준실적 조건없음 혜택요약 국내외 가맹점 최대 2% 할인! 국내 가맹점 2~3개월 무이자 할부 온라인 신청 주요혜택 연회비지원 언제나할인 렌탈 의료 뷰티 다른 DiGi LOCA City Edition","2026-06-11T13:04:13.065Z"
"naver-card-10303-performance-1","naver-card-10303","500000","500000","before","month","1","sum","excluded","0","전월실적 기준: 없음 할인 제외 대상 및 실적 기준은 하단 부가혜택 및 통합할인한도를 확인해주세요. 언제나할인 bene_83.png https://vertical.pstatic.net/vertical-cardad/benefits/icons/bene_83.png 0.7 percent 4 123 렌탈 업종 0.7% 할인 실적·한도 없이 혜택 제공 [기본할인] 혜택: 국내외 가맹점 0.7% 결제일 할인 전월실적 기준: 없음 할인 제외 대상 및 실적 기준은 하단 부가혜택 및","2026-06-11T13:04:13.065Z"
"naver-card-10305-performance-1","naver-card-10305","1000000","1000000","before","month","1","sum","excluded","0","전월실적 기준: 없음 할인기준 및 이용기준은 하단 부가혜택 및 통합할인한도를 확인해주세요. 언제나할인 bene_83.png https://vertical.pstatic.net/vertical-cardad/benefits/icons/bene_83.png 1 percent 2 12 온라인 쇼핑 최대 5% 결제일 할인 [기본할인] 혜택: 온라인 쇼핑 이용 시 2% 결제일 할인 대상 가맹점: 쿠팡, 11번가, G마켓, 옥션, SSG.COM 2% 결제일 할인 [추가할인] 혜택:","2026-06-11T13:04:13.065Z"
"naver-card-10141-performance-1","naver-card-10141","500000","500000","before","month","1","sum","excluded","0","기준실적 직전 1개월 합계 50만원 이상 혜택요약 실적 직전 1개월 합계 50만원 이상 혜택요약 관리비, 공과금 10% 할인! 대중교통, 보험료, OTT 할인까지! 온라인 신청 주요혜택 연회비지원 원 신규 회원 최대 100% 지급 기준실적 직전 1개월 합계 50만원 이상 혜택요약 관리비, 공과금 10% 할인! 대중교통, 보험료, OTT 할인까지! 온라인 신청 주요혜택 연회비지원 관리비 통신 대중교통 외식 다른 LOCA 카드 LOCA 나누기 카드 신규 회원 최대 100%","2026-06-11T13:04:13.065Z"
"naver-card-10615-performance-1","naver-card-10615","0","","before","month","1","sum","excluded","0","기준실적 조건없음 혜택요약 조건·한도 없이 즐기는 0.8% 할인 해외 실적 조건없음 혜택요약 조건·한도 없이 즐기는 0.8% 할인 해외 가맹점 한도없이 1.5%할인 온라인 신청 주요혜택 연회비지원 언제나할인 쇼핑 뷰티 원, 해외 1만원 신규 회원 최대 100% 지급 기준실적 조건없음 혜택요약 조건·한도 없이 즐기는 0.8% 할인 해외 가맹점 한도없이 1.5%할인 온라인 신청 주요혜택 연회비지원 언제나할인 쇼핑 뷰티 문화 다른 LOCA LIKIT 카드 LOCA LIKIT","2026-06-11T13:04:13.065Z"
