"card_id","source_card_id","card_name","issuer","card_type","status","review_status","summary","annual_fee","previous_spend","advertised_benefit","monthly_cap","last_verified_at","best_for","cautions","strengths","weaknesses","exported_at"
"naver-card-10304","10304","디지로카 London","롯데","credit","active","needs_review","실적·한도 없이 0.7% 캐시백","20000","0","실적·한도 없이 0.7% 캐시백","20000","2026-06-10","포인트/캐시백 | 렌탈 | 의료","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","포인트/캐시백, 렌탈, 의료 영역 혜택 정보가 수집되었습니다.","상세 한도와 제외 조건은 아직 검증 전입니다.","2026-06-11T11:14:42.801Z"
"naver-card-10623","10623","카드의정석2 SUPER","우리","credit","active","needs_review","국내외 가맹점 2% 청구 할인","30000","0","국내외 가맹점 2% 청구 할인","10000","2026-06-10","언제나할인 | 납부 혜택 | 프리미엄","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","언제나할인, 납부 혜택, 프리미엄 영역 혜택 정보가 수집되었습니다.","상세 한도와 제외 조건은 아직 검증 전입니다.","2026-06-11T11:14:42.801Z"
"naver-card-1530","1530","삼성카드 taptap O","삼성","credit","active","needs_review","커피30% 교통10% 쇼핑7% 할인","10000","300000","커피30% 교통10% 쇼핑7% 할인","20000","2026-06-10","영화 | 포인트/캐시백 | 카페/베이커리","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","영화, 포인트/캐시백, 카페/베이커리 영역 혜택 정보가 수집되었습니다.","상세 한도와 제외 조건은 아직 검증 전입니다.","2026-06-11T11:14:42.801Z"
"naver-card-10333","10333","DA카드의정석Ⅱ","우리","credit","active","needs_review","국내외 가맹점 1.3% 청구 할인","12000","300000","국내외 가맹점 1.3% 청구 할인","20000","2026-06-10","언제나할인 | 쇼핑 | 레저","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","언제나할인, 쇼핑, 레저 영역 혜택 정보가 수집되었습니다.","상세 한도와 제외 조건은 아직 검증 전입니다.","2026-06-11T11:14:42.801Z"
"naver-card-10105","10105","LOCA LIKIT 1.2","롯데","credit","active","needs_review","국내외 가맹점 1.2% 할인!","10000","0","국내외 가맹점 1.2% 할인!","20000","2026-06-10","언제나할인 | 카페/베이커리 | 쇼핑","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","언제나할인, 카페/베이커리, 쇼핑 영역 혜택 정보가 수집되었습니다.","상세 한도와 제외 조건은 아직 검증 전입니다.","2026-06-11T11:14:42.801Z"
"naver-card-10615","10615","LOCA LIKIT 1.5","롯데","credit","active","needs_review","조건·한도 없이 즐기는 0.8% 할인","10000","0","조건·한도 없이 즐기는 0.8% 할인","20000","2026-06-10","언제나할인 | 쇼핑 | 뷰티","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","언제나할인, 쇼핑, 뷰티 영역 혜택 정보가 수집되었습니다.","상세 한도와 제외 조건은 아직 검증 전입니다.","2026-06-11T11:14:42.801Z"
"naver-card-10375","10375","디지로카 Las Vegas","롯데","credit","active","needs_review","국내외 가맹점 최대 2% 할인!","20000","0","국내외 가맹점 최대 2% 할인!","20000","2026-06-10","언제나할인 | 렌탈 | 의료","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","언제나할인, 렌탈, 의료 영역 혜택 정보가 수집되었습니다.","상세 한도와 제외 조건은 아직 검증 전입니다.","2026-06-11T11:14:42.801Z"
"naver-card-10176","10176","LOCA 나누기 카드","롯데","credit","active","needs_review","수수료 없이 3개월, 6개월로 나누기","20000","0","수수료 없이 3개월, 6개월로 나누기","10000","2026-06-10","납부 혜택","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","납부 혜택 영역 혜택 정보가 수집되었습니다.","상세 한도와 제외 조건은 아직 검증 전입니다.","2026-06-11T11:14:42.801Z"
"naver-card-10141","10141","LOCA 365","롯데","credit","active","needs_review","관리비, 공과금 10% 할인!","20000","500000","관리비, 공과금 10% 할인!","32000","2026-06-10","관리비 | 통신 | 대중교통","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","관리비, 통신, 대중교통 영역 혜택 정보가 수집되었습니다.","상세 한도와 제외 조건은 아직 검증 전입니다.","2026-06-11T11:14:42.801Z"
"naver-card-10157","10157","삼성 iD SIMPLE 카드","삼성","credit","active","needs_review","전월실적할인한도없이0.7%·1%할인/","7000","0","전월실적할인한도없이0.7%·1%할인/","20000","2026-06-10","주유 | 간편결제 | 대형마트","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","주유, 간편결제, 대형마트 영역 혜택 정보가 수집되었습니다.","상세 한도와 제외 조건은 아직 검증 전입니다.","2026-06-11T11:14:42.801Z"
