"performance_rule_id","card_id","base_spend_amount","base_spend_period","base_spend_method","discounted_spend_counts_for_performance","discounted_spend_count_ratio","base_spend_description","exported_at"
"naver-card-10304-performance-1","naver-card-10304","0","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10623-performance-1","naver-card-10623","0","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-1530-performance-1","naver-card-1530","300000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10333-performance-1","naver-card-10333","300000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10105-performance-1","naver-card-10105","0","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10615-performance-1","naver-card-10615","0","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10375-performance-1","naver-card-10375","0","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10176-performance-1","naver-card-10176","0","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10141-performance-1","naver-card-10141","500000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10157-performance-1","naver-card-10157","0","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10307-performance-1","naver-card-10307","400000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-1531-performance-1","naver-card-1531","0","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10309-performance-1","naver-card-10309","300000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10452-performance-1","naver-card-10452","200000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10522-performance-1","naver-card-10522","400000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10332-performance-1","naver-card-10332","300000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10102-performance-1","naver-card-10102","300000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-1294-performance-1","naver-card-1294","300000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10343-performance-1","naver-card-10343","500000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-1684-performance-1","naver-card-1684","300000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10310-performance-1","naver-card-10310","400000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10216-performance-1","naver-card-10216","400000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-115-performance-1","naver-card-115","300000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-1408-performance-1","naver-card-1408","300000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10611-performance-1","naver-card-10611","300000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10612-performance-1","naver-card-10612","500000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10358-performance-1","naver-card-10358","400000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-2337-performance-1","naver-card-2337","300000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10286-performance-1","naver-card-10286","500000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10616-performance-1","naver-card-10616","0","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10303-performance-1","naver-card-10303","0","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-1322-performance-1","naver-card-1322","300000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10218-performance-1","naver-card-10218","400000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10045-performance-1","naver-card-10045","300000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-10108-performance-1","naver-card-10108","400000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
"naver-card-277-performance-1","naver-card-277","300000","직전 1개월","합계","unknown","","네이버 카드 검색 원본을 기준으로 만든 임시 랭킹 데이터입니다. | 통합 할인한도, 실적 제외, 할인받은 매출의 실적 포함 여부는 공식 상품설명서로 추가 검증이 필요합니다.","2026-06-11T11:14:42.801Z"
